what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1476445054833
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1476445054843
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1476445054843
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1476445054843
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1476445054843
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1476445054903
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1476445054903
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1476445055003
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1476445055003
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1476445055003
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1476445055013
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1476445055013
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1476445055013
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1476445055043
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1476445055043
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1476445055043
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1476445055043
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1476445055043
os,sysinfo,,,"win32",1476445055053
arch,sysinfo,,,"x86_64",1476445055053
ws,sysinfo,,,"win32",1476445055053
locale,sysinfo,,,"en_US",1476445055053
processors,sysinfo,,,"4",1476445055053
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1476445055053
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1476445055053
java.specification.name,sysinfo,,,"Java Platform API Specification",1476445055053
java.specification.vendor,sysinfo,,,"Oracle Corporation",1476445055053
java.specification.version,sysinfo,,,"1.7",1476445055053
java.vendor,sysinfo,,,"Oracle Corporation",1476445055053
java.version,sysinfo,,,"1.7.0_71",1476445055053
java.vm.info,sysinfo,,,"mixed mode",1476445055053
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1476445055053
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1476445055053
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1476445055053
java.vm.specification.version,sysinfo,,,"1.7",1476445055053
java.vm.vendor,sysinfo,,,"Oracle Corporation",1476445055053
java.vm.version,sysinfo,,,"24.71-b01",1476445055053
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1476445056533
