what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480595968694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480595968722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480595968882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480595969087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480595969275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480595969872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480595973629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480595973669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480595979222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480595979373
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1480595982727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1480595984655
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1480595985414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480595986473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480595990597
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480595991766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480595999893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596004942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596010157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596096468
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1480596098433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596100371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596103332
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480596104321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596110892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596111083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596120785
activated,view,org.testng.eclipse,6.9.13.201609291640,"org.testng.eclipse.ResultView",1480596235193
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480596235241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596248822
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1480596254005
activated,view,org.testng.eclipse,6.9.13.201609291640,"org.testng.eclipse.ResultView",1480596254097
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1480596278474
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480596279689
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1480596285829
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1480596285937
activated,view,org.testng.eclipse,6.9.13.201609291640,"org.testng.eclipse.ResultView",1480596287530
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1480596287581
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480596290980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596296709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596305643
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1480596306017
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480596306231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596316436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596326516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596329821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596435614
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1480596437576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596440086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596459348
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480596462776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596463131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596472179
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1480596474081
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1480596477268
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1480596495559
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1480596495583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1480596511630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596513337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596520986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596521226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596523856
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480596524796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596530141
activated,view,org.testng.eclipse,6.9.13.201609291640,"org.testng.eclipse.ResultView",1480596634024
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480596634106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596654813
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1480596657708
activated,view,org.testng.eclipse,6.9.13.201609291640,"org.testng.eclipse.ResultView",1480596657832
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1480596664226
activated,view,org.testng.eclipse,6.9.13.201609291640,"org.testng.eclipse.ResultView",1480596666255
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1480596666296
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1480596676083
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480596677397
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1480596677447
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1480596702453
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1480596714127
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1480596719543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1480596724181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480596725541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480597030982
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1480597033042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480597320792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480597356972
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1480597597372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1480597601252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480597602912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480597969413
