what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1478866869289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478866871854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478866874597
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1478866877337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478866881353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478866881737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478866883187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478866920970
activated,view,org.testng.eclipse,6.9.13.201609291640,"org.testng.eclipse.ResultView",1478866920978
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1478866921076
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1478866956952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1478867101717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1478867103676
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1478867106869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478867109787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478867110734
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1478867113033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478867117238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478867117706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478867119920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478867172506
activated,view,org.testng.eclipse,6.9.13.201609291640,"org.testng.eclipse.ResultView",1478867174238
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1478867174314
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1478867199684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1478867259959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1478867262677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1478867290596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478867292269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478867294424
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1478867296304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478867300573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478867300990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478867303064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478867338729
